sheet,row_id,Chagatai (chg_Arab),Chagatai Latin (chg_Latn),English (eng_Latn),Kazakh (kaz_Cyrl),Russian (rus_Cyrl),Uzbek (uzn_Latn),Turkish (tur_Latn),source_text,source_lang,type,length,Unnamed: 0
Ch 1,26,قند میوە ایماس,qand mı̇̄wa emes,sugar is not fruit,қант жеміс емес,сахар — не фрукт,qand meva emas,şeker meyve değil,qand mı̇̄wa emes,chg,phrase,3,
Ch 1,27,شورپا گوشت و توز ایماسدور,şorpa göşt wa tuz emesdür,soup is not meat and salt,сорпа ет пен тұз емес,суп — не мясо и соль,sho'rva go'sht va tuz emasdir,çorba et ve tuz değildir,şorpa göşt wa tuz emesdür,chg,sentence,5,
Ch 1,28,قیزیل گوشت آش ایماس دور,qızıl göşt aş emesdür,red meat is not rice,қызыл ет күріш емес,красное мясо — не рис,qizil go'sht guruch emasdir,kırmızı et pirinç değildir,qızıl göşt aş emesdür,chg,phrase,4,
Ch 1,29,دارو آرزان ایماس قیمت دور,dārū arzān emes qımmatdur,medicine is not cheap it is expensive,"дәрі арзан емес, қымбат","лекарство не дешевое, оно дорогое","dori arzon emas, qimmatdir","ilaç ucuz değil, pahalıdır",dārū arzān emes qımmatdur,chg,phrase,4,
Ch 1,30,مرچ قزل ایماس کوک دور,murç qızıl emes kökdür,pepper is not red it is green,"бұрыш қызыл емес, жасыл","перец не красный, он зеленый","murch qizil emas, ko'kdir","biber kırmızı değil, yeşildir",murç qızıl emes kökdür,chg,phrase,4,
Ch 1,31,آش ساوق ایماس ایسیق دور,aş sawuq emes ıssıqdur,food is not cold it is hot,"ас суық емес, ыстық","еда не холодная, она горячая","ovqat sovuq emas, issiqdir","yemek soğuk değil, sıcaktır",aş sawuq emes ıssıqdur,chg,phrase,4,
Ch 1,32,سوت اق دور,süt aqdur,Milk is white,сүт ақ,молоко белое,sut oqdir,süt beyazdır,süt aqdur,chg,phrase,2,
Ch 1,33,اق سوت,aq süt,white milk,ақ сүт,белое молоко,oq sut,beyaz süt,aq süt,chg,phrase,2,
Ch 1,34,اق سوت تاتلیق دور,aq süt tatlıqdur,The white milk is tasty,ақ сүт дәмді,белое молоко вкусное,oq sut mazalidir,beyaz süt lezzetlidir,aq süt tatlıqdur,chg,phrase,3,
Ch 1,35,اچیق دارو یخشي دارو ایماس,aççıq dārū yaḫşı dārū emes,Bitter medicine is not good medicine.,ащы дәрі жақсы дәрі емес,горькое лекарство — не хорошее лекарство,achchiq dori yaxshi dori emas,acı ilaç iyi ilaç değildir,aççıq dārū yaḫşı dārū emes,chg,sentence,5,
Ch 1,36,اق قتق,aq qatıq,white yogurt,ақ қатық,белый йогурт,oq qatiq,beyaz yoğurt,aq qatıq,chg,phrase,2,
Ch 1,37,قزل مرچ,qızıl murç,red pepper,қызыл бұрыш,красный перец,qizil murch,kırmızı biber,qızıl murç,chg,phrase,2,
Ch 1,38,شیرین قند,şirin qand,sweet sugar,тәтті қант,сладкий сахар,shirin qand,tatlı şeker,şirin qand,chg,phrase,2,
Ch 1,39,قیزیل رنک و اق رنک,qızıl reñ wa aq reñ,red color and white color,қызыл түс пен ақ түс,красный цвет и белый цвет,qizil rang va oq rang,kırmızı renk ve beyaz renk,qızıl reñ wa aq reñ,chg,sentence,5,
Ch 1,40,اق سوت ارزان دور,aq süt arzāndur,The white milk is cheap.,ақ сүт арзан,белое молоко дешевое,oq sut arzondir,beyaz süt ucuzdur,aq süt arzāndur,chg,phrase,3,
Ch 1,41,ایسیق چاى تاتلیقدور,ıssıq çay tatlıqdur,The hot tea is tasty.,ыстық шай дәмді,горячий чай вкусный,issiq choy mazalidir,sıcak çay lezzetlidir,ıssıq çay tatlıqdur,chg,phrase,3,
Ch 1,42,قرا چاى و کوک چاى یخشی دور,qara çay wa kök çay yaḫşıdur,Black tea and green tea are good,қара шай мен көк шай жақсы,черный чай и зеленый чай хорошие,qora choy va ko'k choy yaxshidir,siyah çay ve yeşil çay iyidir,qara çay wa kök çay yaḫşıdur,chg,sentence,6,
Ch 1,43,قیزیل میوه قیمت ایرماس,qızıl mı̇̄wa qımmat ermes,The red fruit is not expensive.,қызыл жеміс қымбат емес,красный фрукт не дорогой,qizil meva qimmat emas,kırmızı meyve pahalı değildir,qızıl mı̇̄wa qımmat ermes,chg,phrase,4,
Ch 1,44,اق قند و قرا چاى یخش دارو ایماس دور,aq qand wa qara çay yaḫşı dārū emesdür,White sugar and black tea are not good medicine.,ақ қант пен қара шай жақсы дәрі емес,белый сахар и черный чай — не хорошее лекарство,oq qand va qora choy yaxshi dori emasdir,beyaz şeker ve siyah çay iyi ilaç değildir,aq qand wa qara çay yaḫşı dārū emesdür,chg,sentence,8,
Ch 2,0,,Kök çay yaḫşıdur,Green tea is good,Көк шай жақсы,Зеленый чай хороший,Ko‘k choy yaxshidir,Yeşil çay iyidir,Kök çay yaḫşıdur,chg,phrase,3,کوک چاى يخشي دور
Ch 2,1,,Buqa dost émes,A bull is not a friend,Бұқа дос емес,Бык — не друг,Buqa do‘st emas,Boğa dost değildir,Buqa dost émes,chg,phrase,3,بوقا دوست ايماس
Ch 2,2,,çay bar,There is tea,шай бар,есть чай,choy bor,çay var,çay bar,chg,phrase,2,چاى بار
Ch 2,3,,çoñ buqa bar,There is a big bull,үлкен бұқа бар,есть большой бык,katta buqa bor,büyük boğa var,çoñ buqa bar,chg,phrase,3,چونک بوقا بار
Ch 2,4,,çoñ buqa bar,There is a large bull,үлкен бұқа бар,есть большой бык,katta buqa bor,büyük boğa var,çoñ buqa bar,chg,phrase,3,چونک بوقا بار
Ch 2,6,,nān wa çay,bread and tea,нан мен шай,хлеб и чай,non va choy,ekmek ve çay,nān wa çay,chg,phrase,3,نان و چاى
Ch 2,7,,kiçik ḫoraz wa çoñ inek,little rooster and big cow,кішкентай қораз және үлкен сиыр,маленький петух и большая корова,kichik xo‘roz va katta sigir,küçük horoz ve büyük inek,kiçik ḫoraz wa çoñ inek,chg,sentence,5,کچيک خوراز و چونک ايناک
Ch 2,8,,ér wa maẓlūm,man and woman,ер және әйел,мужчина и женщина,er va ayol,erkek ve kadın,ér wa maẓlūm,chg,phrase,3,اير و مظلوم
Ch 2,12,,Pul bar,There is money,Ақша бар,Есть деньги,Pul bor,Para var,Pul bar,chg,phrase,2,پُل بار
Ch 2,13,,Pul bar,I have money,Ақша бар,У меня есть деньги,Pul bor,Param var,Pul bar,chg,phrase,2,پُل بار
Ch 2,14,,Pul bar,Money exists,Ақша бар,Деньги есть,Pul bor,Para mevcuttur,Pul bar,chg,phrase,2,پُل بار
Ch 2,15,,Pul bar,There exists money,Ақша бар,Существуют деньги,Pul bor,Para vardır,Pul bar,chg,phrase,2,پُل بار
Ch 2,16,,qatıq bar,There is yogurt,қатық бар,есть катык,qatiq bor,katık var,qatıq bar,chg,phrase,2,قتق بار
Ch 2,17,,arzān dārū bar,There is cheap medicine,арзан дәрі бар,есть дешевое лекарство,arzon dori bor,ucuz ilaç var,arzān dārū bar,chg,phrase,3,آرزان دارو بار
Ch 2,18,,qızıl göşt bardur,There is red meat,қызыл ет бар,есть красное мясо,qizil go‘sht bordir,kırmızı et vardır,qızıl göşt bardur,chg,phrase,3,قزل گوشت باردور
Ch 2,19,,çoñ inek bar,There is a large cow,үлкен сиыр бар,есть большая корова,katta sigir bor,büyük inek var,çoñ inek bar,chg,phrase,3,چونک اينک بار
Ch 2,20,,Maẓlūm kişi bar,There is a woman,Әйел адам бар,Есть женщина,Ayol kishi bor,Kadın kişi var,Maẓlūm kişi bar,chg,phrase,3,مظلوم کيشي بار
Ch 2,21,,Kiçik bala bardur,There is a small child,Кішкентай бала бар,Есть маленький ребенок,Kichik bola bordir,Küçük çocuk vardır,Kiçik bala bardur,chg,phrase,3,کچيک بلا باردور
Ch 2,22,,bir ādam bar,Someone is there,бір адам бар,есть кто-то,bir odam bor,bir adam var,bir ādam bar,chg,phrase,3,بر آدم بار
Ch 2,23,,çoñ buqa wa bir ḫoraz bar,There are a large bull and a rooster,үлкен бұқа және бір қораз бар,есть большой бык и один петух,katta buqa va bir xo‘roz bor,büyük boğa ve bir horoz var,çoñ buqa wa bir ḫoraz bar,chg,sentence,6,چونک بوقا و بر خوراز بار
Ch 2,26,,Pul yoq,There is no money,Ақша жоқ,Денег нет,Pul yo‘q,Para yok,Pul yoq,chg,phrase,2,پُل يوق
Ch 2,27,,Yañı mı̇̄wa yoq,There is no new fruit,Жаңа жеміс жоқ,Нет новых фруктов,Yangi meva yo‘q,Yeni meyve yok,Yañı mı̇̄wa yoq,chg,phrase,3,ينکی ميوە يوق
Ch 2,28,,Issıq suw yoqdur,There is no hot water,Ыстық су жоқ,Нет горячей воды,Issiq suv yo‘qdir,Sıcak su yoktur,Issıq suw yoqdur,chg,phrase,3,ايسّيق سو يوقدور
Ch 2,29,,Göşt yoq,There is no meat,Ет жоқ,Мяса нет,Go‘sht yo‘q,Et yok,Göşt yoq,chg,phrase,2,گوشت يوق
Ch 2,30,,çay şı̇̄rı̇̄n émes,The tea is not sweet,шай тәтті емес,чай не сладкий,choy shirin emas,çay tatlı değil,çay şı̇̄rı̇̄n émes,chg,phrase,3,چاى شيرين ايماس
Ch 2,31,,Uşbu inek dost émes,This cow here is not a friend,Мына сиыр дос емес,Эта корова — не друг,Ushbu sigir do‘st emas,Bu inek dost değildir,Uşbu inek dost émes,chg,phrase,4,اوشبو اينک دوست ايماس
Ch 2,32,,Mı̇̄wa göşt émes,Fruit is not meat,Жеміс ет емес,Фрукт — не мясо,Meva go‘sht emas,Meyve et değildir,Mı̇̄wa göşt émes,chg,phrase,3,ميوە گوشت ايماس
Ch 2,33,,şı̇̄rı̇̄n çay yoq,There is no sweet tea,тәтті шай жоқ,нет сладкого чая,shirin choy yo‘q,tatlı çay yok,şı̇̄rı̇̄n çay yoq,chg,phrase,3,شيرين چاى يوق
Ch 2,34,,O inekde dost yoq,That cow has no friends,Ол сиырда дос жоқ,У той коровы нет друзей,U sigirda do‘st yo‘q,O inekte dost yok,O inekde dost yoq,chg,phrase,4,او اينک دە دوست يوق
Ch 2,46,,bu mākiyān,this hen,бұл тауық,эта курица,bu makiyon,bu tavuk,bu mākiyān,chg,phrase,2,بو مکيان
Ch 2,47,,ol kişi,that person,ол кісі,тот человек,ul kishi,o kişi,ol kişi,chg,phrase,2,اول کيشي
Ch 2,48,,Bu üydür,This is a house,Бұл — үй,Это дом,Bu uydir,Bu evdir,Bu üydür,chg,phrase,2,بو اوى دور
Ch 2,49,,şol üyde ādam bar,In this house there is a man,сол үйде адам бар,в этом доме есть человек,shu uyda odam bor,şu evde adam var,şol üyde ādam bar,chg,phrase,4,شول اويدە آدم بار
Ch 2,50,,uşbu kitāb,this book,мына кітап,эта книга,ushbu kitob,bu kitap,uşbu kitāb,chg,phrase,2,اوشبو کتاب
Ch 2,51,,uşol bala,that child,сол бала,тот ребенок,o‘shal bola,şu çocuk,uşol bala,chg,phrase,2,اوشول بلا
Ch 2,52,,bir cānwār,an animal,бір жануар,одно животное,bir jonivor,bir hayvan,bir cānwār,chg,phrase,2,بر جانور
Ch 2,54,,bu cānwār,this animal,бұл жануар,это животное,bu jonivor,bu hayvan,bu cānwār,chg,phrase,2,بو جانور
Ch 2,56,,üyde süt yoq,There is no milk in the house,үйде сүт жоқ,в доме нет молока,uyda sut yo‘q,evde süt yok,üyde süt yoq,chg,phrase,3,اوىدە سوت يوق
Ch 2,57,,Maẓlūmda éşek bar,the woman has a donkey,Әйелде есек бар,У женщины есть осёл,Ayolda eshak bor,Kadında eşek var,Maẓlūmda éşek bar,chg,phrase,3,مظلوم دە ايشاک بار
Ch 2,58,,üyde bala bar,There is a child in the room,үйде бала бар,в доме есть ребенок,uyda bola bor,evde çocuk var,üyde bala bar,chg,phrase,3,اويدە بلا بار
Ch 2,59,,Bu üyde kişi yoq,There is no one in this house,Бұл үйде кісі жоқ,В этом доме никого нет,Bu uyda kishi yo‘q,Bu evde kimse yok,Bu üyde kişi yoq,chg,phrase,4,بو اويدە کيشي يوق
Ch 2,60,,Bu üyde kişi yoq,There is no person in this house,Бұл үйде кісі жоқ,В этом доме нет человека,Bu uyda kishi yo‘q,Bu evde kişi yok,Bu üyde kişi yoq,chg,phrase,4,بو اويدە کيشي يوق
Ch 2,61,,Uşol kitābda bir inek bar,There is a cow in this book,Сол кітапта бір сиыр бар,В той книге есть корова,O‘shal kitobda bir sigir bor,O kitapta bir inek var,Uşol kitābda bir inek bar,chg,sentence,5,اوشول کتاب دە بر اينک بار
Ch 2,62,,Ol yerde ér kişi bardur,There are men at that place,Ол жерде ер адам бар,В том месте есть мужчина,Ul yerda er kishi bordir,O yerde erkek kişi vardır,Ol yerde ér kişi bardur,chg,sentence,5,اول يردە اير کيشي باردور
Ch 2,63,,Göşt uşol yerde yoq,There is no meat at that place,Ет ол жерде жоқ,Мяса в том месте нет,Go‘sht o‘shal yerda yo‘q,Et o yerde yok,Göşt uşol yerde yoq,chg,phrase,4,گوشت اوشول يردە يوق
Ch 2,64,,şol maẓlūmda buqa yoq,This woman has no bull,сол әйелде бұқа жоқ,у той женщины нет быка,shu ayolda buqa yo‘q,şu kadında boğa yok,şol maẓlūmda buqa yoq,chg,phrase,4,شول مظلومدە بوقا يوق
Ch 2,65,,Ol ādam wa maẓlūm kişi uşbu yerdedür,That man and woman are in this place right here,Ол адам мен әйел осы жерде,Тот мужчина и женщина находятся здесь,Ul odam va ayol kishi ushbu yerdadir,O adam ve kadın bu yerdédir,Ol ādam wa maẓlūm kişi uşbu yerdedür,chg,sentence,7,اول آدم و مظلوم کيشي اوشبو يردەدور
Ch 2,66,,Toḫta üyde,Toḫta is in a house,Тоқта үйде,Тохта в доме,To‘xta uyda,Tohta evde,Toḫta üyde,chg,phrase,2,توختە اويدە
Ch 2,67,,Toḫta üyde,Toḫta is in the house,Тоқта үйде,Тохта находится в доме,To‘xta uyda,Tohta evdédir,Toḫta üyde,chg,phrase,2,توختە اويدە
Ch 2,68,,Bu cānwār buqadur,This animal is a bull,Бұл жануар — бұқа,Это животное — бык,Bu jonivor buqadir,Bu hayvan boğadır,Bu cānwār buqadur,chg,phrase,3,بو جانور بوقادور
Ch 2,69,,şol buqa üyde émes,This bull is not in the house,сол бұқа үйде емес,этот бык не в доме,shu buqa uyda emas,şu boğa evde değil,şol buqa üyde émes,chg,phrase,4,شول بوقا اويدە ايماس
Ch 2,70,,Toḫta bar,Toḫta is around,Тоқта бар,Тохта здесь,To‘xta bor,Tohta var,Toḫta bar,chg,phrase,2,توختە بار
Ch 2,71,,Uşbu kitābda Toḫta yoq,There is no Toḫta in this book,Мына кітапта Тоқта жоқ,В этой книге нет Тохты,Ushbu kitobda To‘xta yo‘q,Bu kitapta Tohta yok,Uşbu kitābda Toḫta yoq,chg,phrase,4,اوشبو کتاب دە توختە يوق
Ch 2,72,,Uşbu kitābda Toḫta yoq,Toḫta is not in this book,Мына кітапта Тоқта жоқ,В этой книге нет Тохты,Ushbu kitobda To‘xta yo‘q,Bu kitapta Tohta yok,Uşbu kitābda Toḫta yoq,chg,phrase,4,اوشبو کتاب دە توختە يوق
Ch 2,73,,Toḫta uşbu kitābda émes,Toḫta is not in this book,Тоқта мына кітапта емес,Тохта не в этой книге,To‘xta ushbu kitobda emas,Tohta bu kitapta değil,Toḫta uşbu kitābda émes,chg,phrase,4,توختە اوشبو کتاب دە ايماس
Ch 3,14,توختە بو يردە اولتورادور,Toḫta bu yerde olturadur,Toḫta sits here,Тоқта бұл жерде отыр,Тохта сидит здесь,To'xta bu yerda o'tiribdi,Tohta burada oturuyor,Toḫta bu yerde olturadur,chg,phrase,4,
Ch 3,15,اوشول بلالار اويدە اولتورادور,Uşol balalar üyde olturadur,Those children sit at home,Сол балалар үйде отыр,Те дети сидят дома,O'shal bolalar uyda o'tiribdi,Şu çocuklar evde oturuyorlar,Uşol balalar üyde olturadur,chg,phrase,4,
Ch 3,21,پيغمبر عربستان دين کلادور,Payǧambar ʿArabistāndın keledür,A prophet comes from Arabia,Пайғамбар Арабиядан келеді,Пророк идет из Аравии,Payg'ambar Arabistondan keladi,Peygamber Arabistan'dan geliyor,Payǧambar ʿArabistāndın keledür,chg,phrase,3,
Ch 3,22,پيغمبر عربستان دين کلادور,Payǧambar ʿArabistāndın keledür,The prophet comes from Arabia,Пайғамбар Арабиядан келеді,Пророк идет из Аравии,Payg'ambar Arabistondan keladi,Peygamber Arabistan'dan geliyor,Payǧambar ʿArabistāndın keledür,chg,phrase,3,
Ch 3,23,اوشبو مظلوم کيشى بزاردين کلادور,Uşbu maẓlūm kişi bazārdın keledür,This woman is coming from the market,Бұл әйел базардан келе жатыр,Эта женщина идет с рынка,Bu ayol bozordan kelyapti,Bu kadın pazardan geliyor,Uşbu maẓlūm kişi bazārdın keledür,chg,sentence,5,
Ch 3,24,بزاردين ميوە الادور,Bazārdın mı̇̄wa aladur,She gets fruit from the market,Базардан жеміс алады,Она берет фрукты с рынка,Bozordan meva oladi,Pazardan meyve alıyor,Bazārdın mı̇̄wa aladur,chg,phrase,3,
Ch 3,25,بو پادشاە عربستان دين,Bu pādişāh ʿArabistāndın,This king is from Arabia,Бұл патша Арабиядан,Этот царь из Аравии,Bu podshoh Arabistondan,Bu padişah Arabistan'dandır,Bu pādişāh ʿArabistāndın,chg,phrase,3,
Ch 3,26,قوي لردين سويدوق,Qoylardın soyduq,We slaughtered some of the sheep,Қойлардан сойдық,Мы зарезали овец,Qo'ylardan soydik,Koyunlardan kestik,Qoylardın soyduq,chg,phrase,2,
Ch 3,27,اوتون دين الادور,Otundın aladur,He takes some of the firewood,Отыннан алады,Он берет дрова,O'tindan oladi,Odundan alıyor,Otundın aladur,chg,phrase,2,
Ch 3,34,آط غە اوت برادور,Aṭǧa ot beredür,She gives the horse some hay,Атқа шөп береді,Она дает лошади сено,Otga o't beradi,Ata ot veriyor,Aṭǧa ot beredür,chg,phrase,3,
Ch 3,35,قوزى لارغە بوغاز برادور,Qozılarǧa boǧaz beredür,She gives the lambs some fodder,Қозыларға жем береді,Она дает ягнятам корм,Qo'zilarga yem beradi,Kuzulara yem veriyor,Qozılarǧa boǧaz beredür,chg,phrase,3,
Ch 3,36,اول آدم مظلوم کيشى کە پل برادور,Ol ādam maẓlūm kişige pul beredür,That man gives money to a woman,Ол адам әйелге ақша береді,Тот человек дает женщине деньги,U odam ayolga pul beradi,O adam kadına para veriyor,Ol ādam maẓlūm kişige pul beredür,chg,sentence,6,
Ch 3,37,بلالارغە اش برادور,Balalarǧa aş beredür,He gives children rice,Балаларға ас береді,Он дает детям еду,Bolalarga osh beradi,Çocuklara aş veriyor,Balalarǧa aş beredür,chg,phrase,3,
Ch 3,41,قوى سويادور,Qoy soyadur,He slaughters a sheep,Қой сояды,Он режет овцу,Qo'y soyadi,Koyun kesiyor,Qoy soyadur,chg,phrase,2,
Ch 3,42,قوى نى سويادور,Qoynı soyadur,He slaughters the sheep,Қойды сояды,Он режет овцу,Qo'yni soyadi,Koyunu kesiyor,Qoynı soyadur,chg,phrase,2,
Ch 3,43,آدم نينک بلاىسی,Ādamnıñ balası,a man's child,Адамның баласы,Ребенок человека,Odamning bolasi,Adamın çocuğu,Ādamnıñ balası,chg,phrase,2,
Ch 3,44,مظلوم نينک سوزى,Maẓlūmnıñ sözi,a woman's word,Әйелдің сөзі,Слово женщины,Ayolning so'zi,Kadının sözü,Maẓlūmnıñ sözi,chg,phrase,2,
Ch 3,45,عربستان نينک يوللارى,ʿArabistānnıñ yolları,the roads of Arabia,Арабияның жолдары,Дороги Аравии,Arabistonning yo'llari,Arabistan'ın yolları,ʿArabistānnıñ yolları,chg,phrase,2,
Ch 3,46,باينينک دروازەسى,Baynıñ darwāzası,a rich man's door,Байдың дарбазасы,Ворота богача,Boyning darvozasi,Zenginin kapısı,Baynıñ darwāzası,chg,phrase,2,
Ch 3,47,روسيە پادشاەىسی,Rūsiya pādişāhısı,the emperor of Russia,Ресей патшасы,Император России,Rossiya podshohi,Rusya padişahı,Rūsiya pādişāhısı,chg,phrase,2,
Ch 4,0,کولدە ساوق سو بار,Kölde sawuq suw bar,There is cold water in the pond,Көлде суық су бар,В озере есть холодная вода,Ko'lda sovuq suv bor,Gölde soğuk su var,Kölde sawuq suw bar,chg,phrase,4,
Ch 4,1,کولدە ساوق سو بارمو,Kölde sawuq suw bar mu?,Is there cold water in the pond?,Көлде суық су бар ма?,Есть ли в озере холодная вода?,Ko'lda sovuq suv bormi?,Gölde soğuk su var mı?,Kölde sawuq suw bar mu?,chg,sentence,5,
Ch 4,2,بو چاى قرادور,Bu çay qaradur,This tea is black,Бұл шай қара,Этот чай черный,Bu choy qoradir,Bu çay siyahtır,Bu çay qaradur,chg,phrase,3,
Ch 4,3,بو چاى قرامو,Bu çay qara mu?,Is this tea black?,Бұл шай қара ма?,Этот чай черный?,Bu choy qorami?,Bu çay siyah mı?,Bu çay qara mu?,chg,phrase,4,
Ch 4,4,اول آدام دە بلا يوق,Ol ādamda bala yoq,That man has no children,Ол адамда бала жоқ,У того человека нет ребенка,U odamda bola yo'q,O adamda çocuk yok,Ol ādamda bala yoq,chg,phrase,4,
Ch 4,5,اول آدام دە بلا يوق مو,Ol ādamda bala yoq mu?,Does that man have no children?,Ол адамда бала жоқ па?,У того человека нет ребенка?,U odamda bola yo'qmi?,O adamda çocuk yok mu?,Ol ādamda bala yoq mu?,chg,sentence,5,
Ch 4,6,بو باى يمان ايماس,Bu bay yaman emes,This wealthy man is not bad,Бұл бай жаман емес,Этот богач не плохой,Bu boy yomon emas,Bu zengin kötü değil,Bu bay yaman emes,chg,phrase,4,
Ch 4,7,بو باى يمان ايماس مو,Bu bay yaman emes mü?,Is this wealthy man not bad?,Бұл бай жаман емес пе?,Этот богач не плохой?,Bu boy yomon emasmi?,Bu zengin kötü değil mi?,Bu bay yaman emes mü?,chg,sentence,5,
Ch 4,8,خواجەلار کوچادين کلادورمو,Ḫᵛācalar Kuçadın keledür mü?,Are the Khwajas coming from Kucha?,Қожалар Кучадан келе жатыр ма?,Ходжи идут из Кучи?,Xo'jalar Kuchadan kelyaptimi?,Hocalar Kuça'dan mı geliyor?,Ḫᵛācalar Kuçadın keledür mü?,chg,phrase,4,
Ch 4,9,کچيک بلا قوزى غە بوغاز برادورمو,Kiçik bala qozıǧa boǧaz beredür mü?,Does the small child give fodder to the lamb?,Кішкентай бала қозыға жем бере ме?,Маленький ребенок дает корм ягненку?,Kichik bola qo'ziga yem beradimi?,Küçük çocuk kuzuya yem veriyor mu?,Kiçik bala qozıǧa boǧaz beredür mü?,chg,sentence,6,
Ch 4,24,او باى ايماس ملادور,"O bay emes, mollādur",He is not a rich man; he is a mullah.,"Ол бай емес, молда","Он не богач, он мулла","U boy emas, mulladir","O zengin değil, molladır","O bay emes, mollādur",chg,phrase,4,
Ch 4,25,من باليق ايماس من پادشاە دورمن,"Men balıq emesmen, pādişāhdurmen",I am not a fish; I am a king.,"Мен балық емеспін, патшамын","Я не рыба, я царь","Men baliq emasman, podshohman","Ben balık değilim, padişahım","Men balıq emesmen, pādişāhdurmen",chg,phrase,4,
Ch 4,26,سيز بلا ايماس چونک آدم دورسيز,"Siz bala emes, çoñ ādamdursız",You are not a child; you are an adult man.,"Сіз бала емессіз, үлкен адамсыз","Вы не ребенок, вы взрослый человек","Siz bola emassiz, katta odamsiz","Siz çocuk değilsiniz, büyük adamsınız","Siz bala emes, çoñ ādamdursız",chg,sentence,5,
Ch 4,27,بيز قيز بلالار ايماس کاشغرنينک خواجەلارى دورميز,"Biz qız balalar emes, Kaşǧarnıñ ḫᵛācälari durmiz","We are not little girls, we are the khwajas of Kashgar","Біз қыз балалар емеспіз, Қашқардың қожаларымыз","Мы не девочки, мы ходжи Кашгара","Biz qiz bolalar emasmiz, Qashqarning xo'jalarimiz","Biz kız çocuklar değiliz, Kaşgar'ın hocalarıyız","Biz qız balalar emes, Kaşǧarnıñ ḫᵛācälari durmiz",chg,sentence,7,
