src_text,tgt_text,src_lang,tgt_lang
ﺘﻮﻜﺎﻧﺪﻯ,"exhausted, finished",chg_Arab,eng_Latn
ﻤﺣﺻﻞ,"халықтан алынатын алым, салық",chg_Arab,kaz_Cyrl
تاءريخ قە,тарихқа,chg_Arab,kaz_Cyrl
بهادور,баһадүр,chg_Arab,kaz_Cyrl
ﻴﻗﻳﻟﺴﻮﻨﻼﺭ,"жиналсын, жиылсын",chg_Arab,kaz_Cyrl
ﺑﺎﺘﻤﺎﻦ,heavy weight,chg_Arab,eng_Latn
خواجە,қожа,chg_Arab,kaz_Cyrl
ﺘﺎﺑﻊ,to obey,chg_Arab,eng_Latn
يول نينک,жолдың,chg_Arab,kaz_Cyrl
کورورسيز,you see,chg_Arab,eng_Latn
ﺑﺮﻜﻧﻛﺎﻦ,tied up,chg_Arab,eng_Latn
بورونغى,бұрынғы,chg_Arab,kaz_Cyrl
ﺑﺮﻜﻧﻛﺎﻦ,байлатқан,chg_Arab,kaz_Cyrl
و بو وقتدا اشعار فهم لمک ليک دا و تاريخ بيلماک ليکدا فقيرداک کيشي شايد عراقدا و هندوستاندا بولسا بولغاى,Және бұл уақытта өлең түсінбекте және тарих білмекте пақырдай кісі бәлкім Иракта не Үндістанда болар,chg_Arab,kaz_Cyrl
ﻗﻧﻐﺮﺍﺕ,call,chg_Arab,eng_Latn
ﺍﻮﻟﻭﮐﻼﺭ,dead bodies,chg_Arab,eng_Latn
بر کونجلوک يول,a road one day in length,chg_Arab,eng_Latn
ﺴﻮﺯﻻﺸﻭﺭﺴﻴﺰ,сөйлесерсіз,chg_Arab,kaz_Cyrl
اوى,үй,chg_Arab,kaz_Cyrl
باشينکيز,басыңыз,chg_Arab,kaz_Cyrl
ﺘﺑﺮﺍﻧﻪ,"қозғалу, толқу",chg_Arab,kaz_Cyrl
ﺤﻣﺎﻡ,bath,chg_Arab,eng_Latn
ﻳﻭﻜﻮﻧﺪﻯ,turned to,chg_Arab,eng_Latn
ﻴﺨﺷﻴﻠﻴﻗﺪﻴﻦ,жақсылықтан,chg_Arab,kaz_Cyrl
ﺴﻮﻞ,to the left,chg_Arab,eng_Latn
تکليف,шақыру,chg_Arab,kaz_Cyrl
ﺗﺎﻨﮑﻼﺳﻰ,tomorrow,chg_Arab,eng_Latn
بزاردە مکيان يا خوراز بارمو,Is there a hen or rooster at the market?,chg_Arab,eng_Latn
ﺍﻭﺨﺸﺎﺘﺪﻴﻼﺮ,жөн көрді,chg_Arab,kaz_Cyrl
ﺗﻭﻜﺮﻠﻴﺏ,жиналып,chg_Arab,kaz_Cyrl
ﺘﻮﺮﻣﺎﻗﻠﻳﻗﻴﻤﺩﺍ,тұруымда,chg_Arab,kaz_Cyrl
کلتور-,to bring,chg_Arab,eng_Latn
حصە,part,chg_Arab,eng_Latn
ﺷﻮﻨﺩﺍﻍ,солай,chg_Arab,kaz_Cyrl
ثمني نى تماما تابشوروب الديم ديب,Құнын толығымен қабылдап алдым деп,chg_Arab,kaz_Cyrl
ﻗﻭﻴﺴﻳﻧﺪﺍ,in the stream,chg_Arab,eng_Latn
ﺁﻖ ﺴﻗﺎﻝ,сыйлы адамдарын.,chg_Arab,kaz_Cyrl
ﻗﻴﺷﻼﺭ,қыстайтын,chg_Arab,kaz_Cyrl
گوشت اوشول يردە يوق,Ет ол жерде жоқ,chg_Arab,kaz_Cyrl
ﻳﺮﺍﺸﻣﺎ ﻗﻠﻴﻗﺪﻴﻥ,"бітімгершіліктен , достастықтан",chg_Arab,kaz_Cyrl
راست,дұрыс,chg_Arab,kaz_Cyrl
ﺍﻭﺒﺎﻯ ﺠﻭﺒﺎﻯ,"to swish, to swish",chg_Arab,eng_Latn
سان,count,chg_Arab,eng_Latn
تونکانلار طرفيدين آتيلدى,Дүнгендер тарапынан атылды.,chg_Arab,kaz_Cyrl
ﻜﻮﺮﺍﻟﻰ,көрейік,chg_Arab,kaz_Cyrl
ﺑﺎﺑﺎ,grandfather,chg_Arab,eng_Latn
ﺍﻮﭼﻴﺴﻴﮑﺎ,for three,chg_Arab,eng_Latn
پادشاهيم,my ruler,chg_Arab,eng_Latn
بو جانور بوقادور,Бұл жануар — бұқа,chg_Arab,kaz_Cyrl
ﺷﻮﻨﻗﺎﺮ,сұңқар,chg_Arab,kaz_Cyrl
ﻴﺎﺸﻨﻮﺐ,жасырынып (тығылып),chg_Arab,kaz_Cyrl
ﺍﻟﺣﻤﺩﻟﻠﻪ,to thank God,chg_Arab,eng_Latn
اوچنكزدین,of three,chg_Arab,eng_Latn
ثمني نى تماما تابشوروب الديم ديب,"I said, “I received the price in full.”",chg_Arab,eng_Latn
ﺍﻭﻴﻐﺎﻖ,awake,chg_Arab,eng_Latn
هر چند اقالاريم اوروشسە طرف توتماى ايرديم,Whenever my brothers fought I would not take sides,chg_Arab,eng_Latn
ﺴﻘﻼﻐﺎﻠﻰ,"to protect, to defend",chg_Arab,eng_Latn
از براى,үшін,chg_Arab,kaz_Cyrl
ﺘﻮﻧﻛﻮﺯ,доңыз,chg_Arab,kaz_Cyrl
قرینداش,"туыс, туысқан",chg_Arab,kaz_Cyrl
ﺁﻏﺎﺴﻴﻨﻴﻧﮏ,brother's,chg_Arab,eng_Latn
چارک,a unit of area,chg_Arab,eng_Latn
ﻏﻌﻐﻠﺎﺗﻨﻤﻜﭙﺪﻭﻭ,born (born),chg_Arab,eng_Latn
ﺯﺮﺒﻔﺕ,shiny fabric,chg_Arab,eng_Latn
ﺍﻮﺭﻤﺎﺪﻯ,соқпады,chg_Arab,kaz_Cyrl
اتا,әке,chg_Arab,kaz_Cyrl
حيلە,айла,chg_Arab,kaz_Cyrl
ﺩﻋﻭﺓ,"to call, to gather",chg_Arab,eng_Latn
بیرو,since,chg_Arab,eng_Latn
ﻗﺮﻴﻧﺪﺍﺷﻣﻳﺯ,"we are relatives, we are relatives",chg_Arab,eng_Latn
مرتبە,Орын,chg_Arab,kaz_Cyrl
خيره احسان قلماي دور,қайырымдылық қылмайды,chg_Arab,kaz_Cyrl
هر تقدير بلە غارغە کريب حق تعالى الارغە اويقونى مستولی قيليب اوج يوز توقوز يل اويوميشلار,"әр жағдайда үңгірге кіріп, Хақ Тағала оларға ұйқыны үстем қылып, үш жүз тоғыз жыл ұйықтапты",chg_Arab,kaz_Cyrl
سيزديک بر دوست ايستاب تافالماسمن,Сіздердей досты іздеп таба алмаспын,chg_Arab,kaz_Cyrl
ﺨﺳﺮﻭ,"қаған, патша, әмірші",chg_Arab,kaz_Cyrl
ﺁﻖ ﺴﻗﺎﻝ,respected people.,chg_Arab,eng_Latn
اول-,өлу,chg_Arab,kaz_Cyrl
ﺒﻮﺯﻮﻠﻮﺐ,бөлініп,chg_Arab,kaz_Cyrl
ﺁﻫﺳﺘﻪ ﺁﻫﺳﺘﻪ,ақырын-ақырын,chg_Arab,kaz_Cyrl
ﻋﺰﻴﺯ,"honorable, respectful",chg_Arab,eng_Latn
يولدە,жолда,chg_Arab,kaz_Cyrl
روايت,story,chg_Arab,eng_Latn
ﻆﻠﻣﻴﻧﺪﻴﻦ,зұлымдығынан,chg_Arab,kaz_Cyrl
مثل,such as,chg_Arab,eng_Latn
سمان,сабан,chg_Arab,kaz_Cyrl
چاى بار,There is tea,chg_Arab,eng_Latn
کرديش,cycle,chg_Arab,eng_Latn
بدل  اجارە ,ижара ақысы,chg_Arab,kaz_Cyrl
ﺨﻃﺒﻪ,жоғары дәрежелі адамды мойындау үшін мешітте оқыл ат ын дұға,chg_Arab,kaz_Cyrl
اما بيزنينک اتا و اقالاري ميزبی پرواي ليغي و خوارزم خلقي نينک پوقوف ليقي بو ايکي سببدين بيزنينک جماعت ميزنى عبد الله خان نينک آتالاري برلان بيزلارنينک آتلارميزنينک آيرلغان يرندين تا بزکا کيلکونجە تاريخ لاري  بتماى ايرديلار,However on account of two reasons the inattentiveness of our fathers and elder brothers and the unawareness of the people of Khwarezm no histories were written from the time when the forefathers of Abdallah Khan were separated from our own up until our own time,chg_Arab,eng_Latn
ﺒﻴﻟﻤﺎﻦ,I don't know.,chg_Arab,eng_Latn
يینکی ميوە يوق,There is no new fruit,chg_Arab,eng_Latn
رکابدار,stirrup-holder,chg_Arab,eng_Latn
سيزلار نچوک مذهب داکی ملت داکی خلق ايدينکلار,"сіздер қандай мазхабтағы, ұлттағы халық едіңіздер",chg_Arab,kaz_Cyrl
ﻤﺮ ﱠ ﺻﻊ,"to decorate, to embellish",chg_Arab,eng_Latn
ﺰﻨﺟﻳﺮ,chain,chg_Arab,eng_Latn
ﻴﻐﻠﺪﻴﻼﺮ,"жиылды, жиналды",chg_Arab,kaz_Cyrl
اولار ايماس ايردى,олар емес еді,chg_Arab,kaz_Cyrl
جوزا,the constellation of Gemini,chg_Arab,eng_Latn
ﻴﻐﻴﻦ,meeting,chg_Arab,eng_Latn
بيز,біз,chg_Arab,kaz_Cyrl
ﺍﻓﺘﺎﺐ,sun,chg_Arab,eng_Latn
ﺍﺤﻭﺍﻝ,situation,chg_Arab,eng_Latn
ﺍﻭﻏﻪ,to the hunt,chg_Arab,eng_Latn
من کە طرفان دين ممت آخوند ابن مقصود آخونددورمن,"Мен, Тұрпаннан Мақсұд ахунның ұлы Мәмет ахунмын",chg_Arab,kaz_Cyrl
اوزون,long,chg_Arab,eng_Latn
ﺯﺮﺒﻔﺕ,shiny fabric,chg_Arab,eng_Latn
تاريخ,тарих,chg_Arab,kaz_Cyrl
ﭼﻗﻗﻮﺩﻴﮏ,"шығатындай , шығардай",chg_Arab,kaz_Cyrl
يوكلاب,to support,chg_Arab,eng_Latn
اول يردە اير کيشي باردور,Ол жерде ер адам бар,chg_Arab,kaz_Cyrl
ديماسالار,демесе,chg_Arab,kaz_Cyrl
ﺘﺎﺒﻭﺷﺎﻟﻰ,let's meet,chg_Arab,eng_Latn
ایمّادی,did not eat,chg_Arab,eng_Latn
ﺴﻜﺯ,eight,chg_Arab,eng_Latn
سوزلار,сөздер,chg_Arab,kaz_Cyrl
سيزلار نمە اوچون شول ايشلارنى قيلدينکلار,For what purpose did you do these deeds?,chg_Arab,eng_Latn
بلالار,балалар,chg_Arab,kaz_Cyrl
يل,жыл,chg_Arab,kaz_Cyrl
خطاى,China,chg_Arab,eng_Latn
ﺍﻴﻮﺷﻗﺎﻦ,clotted,chg_Arab,eng_Latn
